Trip Start Timestamp,Trip Miles,Fare,Trips Pooled
01/01/2019,6.0,10.983569576781926,297010
01/02/2019,6.2,10.534625124630789,213631
01/03/2019,5.9,10.243051722996093,226495
01/04/2019,5.6,10.082625560570448,277396
01/05/2019,5.5,9.998691351437149,296107
01/06/2019,6.4,10.658446522316057,258491
01/07/2019,6.3,11.033284533425796,233607
01/08/2019,5.9,10.273784350542238,227944
01/09/2019,5.8,10.199754183605937,264425
01/10/2019,5.9,10.486862793054051,286210
01/11/2019,5.6,10.302775889082685,338270
01/12/2019,5.1,9.702044101208134,372144
01/13/2019,6.1,10.314601198480756,262499
01/14/2019,6.3,10.877708186345501,242367
01/15/2019,5.8,10.154287810370463,254897
01/16/2019,5.9,10.389137228904252,263975
01/17/2019,6.1,10.916910720235694,285115
01/18/2019,5.7,10.416961878758554,347208
01/19/2019,4.9,9.518888016084802,352631
01/20/2019,5.5,9.785558050124782,311343
01/21/2019,6.3,10.551860274647943,251522
01/22/2019,5.8,10.503668498768577,271637
01/23/2019,5.9,10.641985872543013,283986
01/24/2019,5.8,10.76224536779766,314915
01/25/2019,5.4,10.793376051030802,381887
01/26/2019,5.0,9.860440464842509,383958
01/27/2019,5.9,10.295954861111111,288000
01/28/2019,5.6,11.124464408838691,243656
01/29/2019,5.5,10.6946646944497,290705
01/30/2019,5.7,9.84761284569444,170454
01/31/2019,5.7,10.362361452044116,292498
02/01/2019,5.6,11.337314245912258,368969
02/02/2019,5.2,9.989272062646305,371227
02/03/2019,5.9,10.390180384208367,290103
02/04/2019,6.6,11.591815556937409,252479
02/05/2019,5.9,10.629491577937142,264662
02/06/2019,6.0,10.757209243682343,277595
02/07/2019,5.9,11.335492798590362,313272
02/08/2019,5.5,10.594688801165226,388594
02/09/2019,5.2,9.815592145446984,384745
02/10/2019,6.1,10.508994911677123,276712
02/11/2019,6.4,11.337332642805079,260670
02/12/2019,5.8,10.674269976855805,275231
02/13/2019,5.8,10.754785313954593,294756
02/14/2019,5.9,11.279624794844335,315614
02/15/2019,5.6,10.790046899150945,377832
02/16/2019,5.2,10.12971439918938,392786
02/17/2019,5.7,10.368032702162917,299919
02/18/2019,6.7,11.756403859936724,252543
02/19/2019,6.3,11.021160528928604,265896
02/20/2019,5.9,10.624254389206195,284163
02/21/2019,6.1,11.215494253736949,319512
02/22/2019,5.7,10.878350818121827,384906
02/23/2019,5.1,10.075325899318629,415926
02/24/2019,6.0,10.448675995130699,305589
02/25/2019,6.3,11.035531584021166,284226
02/26/2019,5.9,10.418682631063204,293904
02/27/2019,6.0,10.676780321353397,305956
02/28/2019,6.2,11.316314157476895,331528
03/01/2019,5.8,10.777096428023915,391380
03/02/2019,5.3,10.046955251213679,405173
03/03/2019,6.1,10.415822398679939,316349
03/04/2019,6.0,10.790497643298636,321636
03/05/2019,5.8,10.649365932428473,320786
03/06/2019,5.9,10.742263645224172,320112
03/07/2019,6.1,11.055100787429609,337046
03/08/2019,5.8,10.784563559134436,383981
03/09/2019,5.2,10.101969700981962,415393
03/10/2019,6.3,10.692074007427144,287863
03/11/2019,6.5,11.410558625147444,273833
03/12/2019,6.1,10.868734293940012,284126
03/13/2019,6.1,10.949360941037767,298564
03/14/2019,6.1,11.337125002246841,333802
03/15/2019,5.7,11.110395168348064,415924
03/16/2019,5.2,11.322216731421367,513991
03/17/2019,6.4,11.315584628410674,329517
03/18/2019,6.8,12.052281843219164,270505
03/19/2019,6.4,11.132586292734603,267143
03/20/2019,6.2,11.190535242682576,292330
03/21/2019,6.3,11.400328819375785,313546
03/22/2019,5.9,10.999316794171417,370313
03/23/2019,5.5,10.481050042529435,379737
03/24/2019,6.4,10.894323959810834,286944
03/25/2019,6.5,11.193174716020062,256004
03/26/2019,6.1,10.601831991481604,261082
03/27/2019,6.2,10.95190786360679,270512
03/28/2019,6.2,11.333073514932721,292513
03/29/2019,5.7,11.535594915709093,368901
03/30/2019,5.3,10.611417054980039,389505
03/31/2019,6.3,11.524546621783443,300632
04/01/2019,6.7,12.610716824444018,265881
04/02/2019,6.2,11.27227881219366,268697
04/03/2019,6.2,11.787623603898414,281141
04/04/2019,6.0,12.64160673382429,324808
04/05/2019,5.9,11.890573103985339,363407
04/06/2019,5.5,11.285270689887944,385164
04/07/2019,6.6,11.963560970110342,283844
04/08/2019,6.9,13.410929223058759,269763
04/09/2019,6.4,12.450882977699817,270222
04/10/2019,6.2,12.267176864773014,313081
04/11/2019,6.2,12.474453909425229,320597
04/12/2019,6.0,12.226183608939025,374448
04/13/2019,5.5,10.902555460870945,390771
04/14/2019,5.9,11.560384556545684,313764
04/15/2019,7.0,13.385731070747539,259585
04/16/2019,6.5,11.69529903208591,260457
04/17/2019,6.4,11.396259010403528,261642
04/18/2019,6.1,11.827281016751584,319134
04/19/2019,5.8,11.013833264873006,350568
04/20/2019,5.6,10.523414713740847,343203
04/21/2019,6.7,12.140136762708481,255479
04/22/2019,7.1,12.460963835115092,249192
04/23/2019,6.3,11.512909741089226,265381
04/24/2019,6.4,11.742061675850412,277483
04/25/2019,6.4,12.244347849003647,303557
04/26/2019,6.0,11.874812639479499,360268
04/27/2019,5.1,11.025797750024425,419649
04/28/2019,6.5,11.837588290060412,285706
04/29/2019,6.5,13.098582323912068,278625
04/30/2019,5.8,11.514424861792679,296294
05/01/2019,6.3,12.151053073818477,290388
05/02/2019,6.2,12.933418399047102,329941
05/03/2019,6.0,12.933378403705588,373490
05/04/2019,5.7,12.501124983125253,400006
05/05/2019,6.6,13.717795409105864,316104
