Trip Start Timestamp,Trip ID,Trip Seconds,Trip Miles,Fare,Trip Total,Trips Pooled
01/26/2019,383958,959.790326025242344,5.0,9.860440464842509,12.929940149703874,1.314370321753942
01/27/2019,288000,936.939315972222222,5.9,10.295954861111111,13.577750104166667,1.330017361111111
01/28/2019,243656,1187.334471550054175,5.6,11.124464408838691,14.609400096857865,1.48377220343435
01/29/2019,290705,1115.485526564730569,5.5,10.6946646944497,13.94273707022583,1.463129289141914
01/30/2019,170454,849.306469780703298,5.7,9.84761284569444,13.171694944090488,1.331203726518592
01/31/2019,292498,957.781581412522479,5.7,10.362361452044116,13.661118742692258,1.429609775109573
02/01/2019,368969,1146.869086562827771,5.6,11.337314245912258,14.639643465982237,1.499798086018067
02/02/2019,371227,979.513440563321095,5.2,9.989272062646305,13.018591616450312,1.326331328270842
02/03/2019,290103,948.432825582637891,5.9,10.390180384208367,13.517038638000986,1.359213796479182
02/04/2019,252479,1159.024817905647598,6.6,11.591815556937409,15.170618071205922,1.420276537850673
02/05/2019,264662,1094.788246095949158,5.9,10.629491577937142,13.883982966954077,1.420048968117826
02/06/2019,277595,1080.505311695095373,6.0,10.757209243682343,14.106626992561105,1.396329184603469
02/07/2019,313272,1156.965030277299846,5.9,11.335492798590362,14.859477674353278,1.392984371408872
02/08/2019,388594,1057.754373459188768,5.5,10.594688801165226,13.852532797727191,1.394748760917564
02/09/2019,384745,939.54099728391532,5.2,9.815592145446984,12.908236520292661,1.301441214310777
02/10/2019,276712,970.80027248547226,6.1,10.508994911677123,13.786034324496227,1.330632571048599
02/11/2019,260670,1149.164491502666206,6.4,11.337332642805079,14.86726516284958,1.410311888594775
02/12/2019,275231,1090.457848134839462,5.8,10.674269976855805,13.976450072847899,1.444463014704012
02/13/2019,294756,1105.017332980499125,5.8,10.754785313954593,13.935693420999064,1.416473286379242
02/14/2019,315614,1142.741022261369901,5.9,11.279624794844335,14.65377112548873,1.376013104615131
02/15/2019,377832,1081.748422579347435,5.6,10.790046899150945,14.08946357111097,1.368891464989731
02/16/2019,392786,959.932851476376449,5.2,10.12971439918938,13.29059737363348,1.286596263614284
02/17/2019,299919,949.742390445420264,5.7,10.368032702162917,13.590960325954674,1.352795254718774
02/18/2019,252543,1092.222924412872263,6.7,11.756403859936724,15.514340646939333,1.386979643070685
02/19/2019,265896,1094.316702771008214,6.3,11.021160528928604,14.467782666907362,1.380310346902548
02/20/2019,284163,1076.865538440965221,5.9,10.624254389206195,13.966897731231723,1.378163237296904
02/21/2019,319512,1114.398388792909186,6.1,11.215494253736949,14.76382214126543,1.345536317884774
02/22/2019,384906,1098.692847084742768,5.7,10.878350818121827,14.25823588096834,1.355738803759879
02/23/2019,415926,961.980429210965412,5.1,10.075325899318629,13.191540706760337,1.305104754211086
02/24/2019,305589,930.417365865151773,6.0,10.448675995130699,13.715855400081155,1.334665187555835
02/25/2019,284226,1075.496583704516828,6.3,11.035531584021166,14.53653501087163,1.388986229268258
02/26/2019,293904,1050.271010261854211,5.9,10.418682631063204,13.67269244379117,1.385186999836681
02/27/2019,305956,1068.845611787315823,6.0,10.676780321353397,14.003234059799448,1.378247198943639
02/28/2019,331528,1107.483361887985328,6.2,11.316314157476895,14.776957511884366,1.364810815376077
03/01/2019,391380,1090.256612499361235,5.8,10.777096428023915,14.123413511165619,1.35606571618376
03/02/2019,405173,952.303361773859561,5.3,10.046955251213679,13.189781007125351,1.290633877380773
03/03/2019,316349,948.331909795541619,6.1,10.415822398679939,13.783559328463185,1.314013952944375
03/04/2019,321636,1049.362434553346018,6.0,10.790497643298636,14.33713405837655,1.434161598826002
03/05/2019,320786,1080.182031011328425,5.8,10.649365932428473,13.995651711733056,1.440798538589589
03/06/2019,320112,1080.00686947068526,5.9,10.742263645224172,14.106117358924376,1.391509846553706
03/07/2019,337046,1091.490903318834818,6.1,11.055100787429609,14.49463191967862,1.359618568385324
03/08/2019,383981,1089.008927525059834,5.8,10.784563559134436,14.094320135631711,1.367606730541355
03/09/2019,415393,969.983644404214804,5.2,10.101969700981962,13.187111169422691,1.314692351580311
03/10/2019,287863,1002.672205180936765,6.3,10.692074007427144,14.037246954280335,1.346063926242692
