"STATION","NAME","DATE","TMAX"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-12","49"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-13","61"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-14","64"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-15","40"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-16","43"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-17","45"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-18","45"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-19","50"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-20","45"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-21","46"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-22","47"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-23","53"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-24","51"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-25","43"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-26","46"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-27","59"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-28","65"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-29","55"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-30","44"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-31","40"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-01","49"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-02","57"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-03","59"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-04","48"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-05","57"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-06","65"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-07","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-08","74"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-09","68"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-10","42"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-11","61"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-12","54"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-13","54"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-14","41"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-15","54"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-16","75"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-17","77"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-18","65"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-19","49"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-20","65"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-21","78"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-22","80"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-23","66"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-24","65"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-25","66"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-26","65"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-27","51"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-28","52"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-29","53"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-04-30","50"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-01","60"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-02","49"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-03","57"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-04","61"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-05","74"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-06","72"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-07","50"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-08","76"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-09","69"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-10","56"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-11","54"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-12","53"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-13","61"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-14","70"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-15","77"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-16","76"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-17","69"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-18","83"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-19","75"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-20","57"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-21","56"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-22","83"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-23","76"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-24","78"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-25","83"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-26","77"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-27","76"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-28","71"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-29","74"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-30","80"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-05-31","83"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-01","82"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-02","69"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-03","68"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-06-04","83"
